Year,Quarter,Labor Force Participation Rate,Employment Rate,Unemployment Rate,Underemployment Rate,Visible Underemployment Rate
2005,Q1,66.0,88.59999999999998,11.4,16.0,9.8
2005,Q2,65.37,91.71999999999998,8.28,25.76,13.97
2005,Q3,65.09,92.3,7.7,20.17,12.800000000000002
2005,Q4,65.29,92.62,7.38,20.9,12.76
2006,Q1,63.6,91.86,8.14,21.15,13.300000000000002
2006,Q2,64.8,91.77,8.23,25.41,15.46
2006,Q3,64.6,91.86,8.14,23.44,13.729999999999999
2006,Q4,63.79999999999999,92.61,7.39,20.32,13.050000000000002
2007,Q1,64.8,92.17,7.830000000000001,21.5,12.88
2007,Q2,64.5,92.59999999999998,7.400000000000001,18.92,13.020000000000001
2007,Q3,63.6,92.19,7.81,21.99,11.42
2007,Q4,63.20000000000001,93.75,6.25,18.14,10.87
2008,Q1,63.4,92.64,7.36,18.9,11.94
2008,Q2,63.169999999999995,92.0,8.0,19.76,12.0
2008,Q3,64.3,92.64,7.36,21.08,12.089999999999998
2008,Q4,63.70000000000001,93.18,6.82,17.46,11.12
2009,Q1,63.29999999999999,92.31,7.69,18.21,11.63
2009,Q2,64.0,92.53000000000002,7.47,18.92,12.39
2009,Q3,64.6,92.40000000000002,7.599999999999999,19.81,11.12
2009,Q4,63.98,92.88,7.12,19.38,12.04
2010,Q1,64.5,92.71999999999998,7.28,19.74,11.589999999999998
2010,Q2,63.6,91.95,8.05,17.78,11.020000000000001
2010,Q3,63.919999999999995,93.04,6.96,17.95,10.69
2010,Q4,64.23,92.88,7.12,19.57,11.26
2011,Q1,63.72,92.56,7.44,19.43,12.24
2011,Q2,64.25,92.77,7.23,19.36,11.96
2011,Q3,64.34,92.93,7.07,19.12,10.96
2011,Q4,66.26,93.58,6.419999999999999,19.15,11.54
2012,Q1,64.17,92.81,7.19,18.8,11.5
2012,Q2,64.68,93.11,6.89,19.33,12.82
2012,Q3,64.01,92.95,7.05,22.81,12.449999999999998
2012,Q4,63.87,93.16000000000001,6.84,19.01,10.979999999999999
2013,Q1,64.08,92.91000000000001,7.09,20.91,11.86
2013,Q2,63.830000000000005,92.45,7.55,19.17,10.72
2013,Q3,63.87,92.71,7.29,19.23,11.19
2013,Q4,63.919999999999995,93.59999999999998,6.400000000000001,18.06,11.57
2014,Q1,63.76,92.46,7.54,19.5,11.97
2014,Q2,65.21,92.96999999999998,7.03,18.17,11.56
2014,Q3,64.4,93.26,6.739999999999999,18.33,11.38
2014,Q4,64.3,93.99,6.010000000000001,18.74,10.94
2015,Q1,63.70000000000001,93.43,6.57,17.9,11.229999999999999
2015,Q2,64.6,93.58999999999999,6.41,17.83,11.61
2015,Q3,62.9,93.5,6.5,20.98,10.81
2015,Q4,63.29999999999999,94.38,5.62,17.65,10.08
2016,Q1,63.54999999999999,94.31,5.69,19.6,10.17
2016,Q2,63.5,93.94,6.06,18.27,10.54
2016,Q3,63.24,94.61,5.39,17.42,9.68
2016,Q4,63.60999999999999,95.33999999999999,4.66,18.02,9.96
2017,Q1,60.66,93.44,6.56,16.26,9.76
2017,Q2,61.37,94.28000000000002,5.72,16.06,10.0
2017,Q3,60.64000000000001,94.42,5.580000000000001,16.28,8.56
2017,Q4,62.14000000000001,95.0,5.0,15.92,8.79
2018,Q1,62.169999999999995,94.74,5.26,17.96,10.57
2018,Q2,60.91,94.54,5.46,16.96,9.15
2018,Q3,60.06,94.58,5.419999999999999,17.23,8.11
2018,Q4,60.54999999999999,94.94,5.06,13.31,7.75
2019,Q1,60.24,94.71,5.29,15.42,7.97
2019,Q2,61.34,94.84999999999998,5.15,13.33,8.21
2019,Q3,62.06,94.58,5.419999999999999,13.64,8.45
2019,Q4,61.41,95.41000000000001,4.59,12.78,7.88
2020,Q1,61.69,94.68,5.32,14.81,8.93
2020,Q2,55.69,82.4,17.6,18.91,16.22
2020,Q3,61.94,90.04,9.96,17.28,12.49
2020,Q4,58.74,91.27,8.73,14.43,9.05
2021,Q1,62.99,91.77333333333333,8.226666666666667,16.78,11.443333333333333
2021,Q2,64.28333333333332,91.94333333333333,8.056666666666667,14.573333333333332,10.326666666666666
2021,Q3,62.129999999999995,91.93333333333334,8.066666666666668,16.62333333333333,10.526666666666666
2021,Q4,63.99333333333333,93.15666666666668,6.843333333333334,15.846666666666666,10.706666666666665
2022,Q1,63.24666666666667,93.80333333333333,6.196666666666666,14.896666666666667,9.466666666666667
2022,Q2,64.06333333333333,94.09666666666668,5.903333333333333,13.713333333333333,9.176666666666668
2022,Q3,65.49000000000001,94.83333333333333,5.166666666666667,14.63,9.423333333333334
2022,Q4,65.99333333333334,95.64333333333333,4.3566666666666665,13.74,8.82
2023,Q1,65.69666666666667,95.21666666666665,4.783333333333334,12.71,8.723333333333334
2023,Q2,65.51333333333334,95.55666666666667,4.443333333333333,12.223333333333334,8.153333333333334
2023,Q3,62.949999999999996,95.40333333333335,4.593333333333334,12.786666666666667,7.473333333333333
2023,Q4,65.49666666666667,96.39333333333333,3.606666666666667,11.756666666666668,6.989999999999999
